                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.4362,                 3.2889,                 1.3573,                 1.2651,                0.57668,                0.19544,                0.19281,                0.10618,                0.54018,                0.14976,                0.14108,                0.06399,                 2.0155,                  4.037,                 1.8723,                 1.5218,              0.0003928,              0.0003928,              0.0003928
                     51,                 1.4438,                 3.3376,                 1.3265,                 1.2758,                0.60212,                0.19186,                0.19707,                0.10732,                0.54331,                0.14828,                0.14262,                0.06862,                 2.0078,                 4.0157,                 1.8623,                 1.5227,             0.00039193,             0.00039193,             0.00039193
                     52,                 1.4213,                  3.301,                  1.296,                 1.2429,                0.60344,                0.19894,                0.19732,                0.10735,                0.53209,                  0.152,                0.13554,                0.06205,                 2.0093,                 4.0303,                  1.808,                 1.5029,             0.00039107,             0.00039107,             0.00039107
                     53,                 1.4105,                  3.269,                 1.2989,                  1.247,                0.60801,                0.19437,                0.20081,                0.10926,                0.55328,                0.14387,                0.13907,                0.06362,                 2.0007,                 4.0385,                 1.8396,                 1.5126,             0.00039021,             0.00039021,             0.00039021
                     54,                 1.4246,                 3.3041,                 1.3064,                 1.2441,                0.59158,                0.19848,                0.19993,                0.11107,                0.53948,                0.15851,                0.14592,                0.06971,                 2.0027,                 4.0304,                 1.8447,                 1.5009,             0.00038935,             0.00038935,             0.00038935
                     55,                 1.4006,                  3.254,                 1.2559,                 1.2342,                0.53543,                0.20526,                0.19572,                0.10747,                0.48477,                0.16955,                0.14692,                0.06897,                 1.9984,                 4.0401,                 1.8275,                  1.504,             0.00038849,             0.00038849,             0.00038849
                     56,                 1.4155,                 3.2549,                 1.2914,                  1.243,                0.51167,                0.21112,                0.19977,                0.11007,                0.54577,                0.15475,                0.14487,                0.06836,                 2.0002,                  4.062,                  1.792,                 1.5157,             0.00038763,             0.00038763,             0.00038763
                     57,                 1.3995,                 3.2429,                 1.2481,                 1.2225,                0.51291,                 0.2158,                0.19647,                0.11115,                0.46545,                0.16048,                0.13662,                0.06655,                 1.9812,                  4.056,                 1.7657,                 1.4982,             0.00038677,             0.00038677,             0.00038677
                     58,                 1.3884,                 3.2245,                 1.2436,                  1.231,                0.45967,                0.22045,                0.19552,                0.11076,                0.46665,                0.16637,                0.13735,                0.06654,                 1.9971,                 4.0378,                 1.7878,                  1.512,             0.00038591,             0.00038591,             0.00038591
                     59,                 1.3606,                 3.2015,                 1.2243,                 1.2336,                0.46614,                0.21561,                0.19227,                0.10749,                0.42678,                0.16736,                0.14011,                0.06526,                  2.021,                 4.0425,                  1.818,                 1.5311,             0.00038504,             0.00038504,             0.00038504
